Date,AssetCode,AssetName,Market,Source,Open,High,Low,Close,Volume,Value
2026-02-10,042700,Hanmi Semiconductor,KR_STOCK,FinanceDataReader,197000.0,201000.0,194000.0,194900.0,825009,
2026-02-10,KQ11,KOSDAQ,KR_INDEX,FinanceDataReader,1132.24,1141.67,1109.44,1115.2,1341864113,
2026-02-10,KRW=X,USD/KRW,FX,yfinance,1457.2099609375,1462.530029296875,1452.43994140625,1458.5400390625,0,
2026-02-10,KS11,KOSPI,KR_INDEX,FinanceDataReader,5350.21,5363.62,5286.67,5301.69,712267871,
2026-02-10,SMH,VanEck Semiconductor ETF,US_ETF,yfinance,408.17999267578125,408.79998779296875,401.8299865722656,404.760009765625,5645300,
2026-02-10,SOXX,iShares Semiconductor ETF,US_ETF,yfinance,353.5199890136719,355.0400085449219,348.1199951171875,351.42999267578125,6252400,
2026-02-10,^GSPC,S&P 500,US_INDEX,yfinance,6974.490234375,6986.830078125,6937.52978515625,6941.81005859375,5595950000,
2026-02-10,^IXIC,NASDAQ Composite,US_INDEX,yfinance,23271.220703125,23310.73046875,23089.099609375,23102.470703125,8513440000,
2026-02-11,000660,SK Hynix,KR_STOCK,FinanceDataReader,860000.0,874000.0,848000.0,860000.0,3125590,
2026-02-11,005930,Samsung Electronics,KR_STOCK,FinanceDataReader,164000.0,168600.0,162000.0,167800.0,22760242,
2026-02-11,042700,Hanmi Semiconductor,KR_STOCK,FinanceDataReader,192700.0,193900.0,187500.0,190500.0,670835,
2026-02-11,KQ11,KOSDAQ,KR_INDEX,FinanceDataReader,1120.62,1126.1,1110.53,1114.87,1313253319,
2026-02-11,KRW=X,USD/KRW,FX,yfinance,1456.2099609375,1457.8599853515625,1445.3699951171875,1455.3299560546875,0,
2026-02-11,KS11,KOSPI,KR_INDEX,FinanceDataReader,5293.75,5374.23,5257.53,5354.49,753767377,
2026-02-11,SMH,VanEck Semiconductor ETF,US_ETF,yfinance,413.8399963378906,418.0799865722656,406.3599853515625,414.7799987792969,6211200,
2026-02-11,SOXX,iShares Semiconductor ETF,US_ETF,yfinance,358.82000732421875,362.2799987792969,351.3999938964844,360.20001220703125,7497000,
2026-02-11,^GSPC,S&P 500,US_INDEX,yfinance,6976.47998046875,6993.47998046875,6911.97021484375,6941.47021484375,6175510000,
2026-02-11,^IXIC,NASDAQ Composite,US_INDEX,yfinance,23278.2890625,23320.619140625,22902.009765625,23066.470703125,9927010000,
2026-02-12,000660,SK Hynix,KR_STOCK,FinanceDataReader,882000.0,894000.0,878000.0,888000.0,4619344,
2026-02-12,005930,Samsung Electronics,KR_STOCK,FinanceDataReader,171200.0,179600.0,170100.0,178600.0,41296011,
2026-02-12,042700,Hanmi Semiconductor,KR_STOCK,FinanceDataReader,200500.0,224500.0,199400.0,209500.0,5790612,
